BASeCamp CDebug Class Profiler Output.
log at 02/11/2007 on FASTLORD as mburgwin at 03:08.15

Profile data is in CSV format. Import into Excel! :P
Procedure Name,Times Called,Total Time (Sec),Average Time(Sec)
GetOperator   ,              0.0087 
GetOperator   ,              0.0085 
GetOperator   ,              0.0093 
GetOperator   ,              0.0081 
GetOperator   ,              0.0081 
GetOperator   ,              0.0088 
GetOperator   ,              0.0086 
GetOperator   ,              0.0078 
GetOperator   ,              0.0086 
GetOperator   ,              0.0084 
GetOperator   ,              0.0095 
GetOperator   ,              0.0085 
GetOperator   ,              0.0081 
GetOperator   ,              0.0089 
GetOperator   ,              0.0086 
GetOperator   ,              0.0088 
GetOperator   ,              0.009 
GetOperator   ,              0.01 
GetOperator   ,              0.0087 
GetOperator   ,              0.0094 
GetOperator   ,              0.0093 
GetOperator   ,              0.0087 
GetOperator   ,              0.009 
GetOperator   ,              0.0082 
GetOperator   ,              0.0088 
GetOperator   ,              0.0089 
GetOperator   ,              0.009 
GetOperator   ,              0.0081 
RemoveExtraneousSpaces      ,              0.3223 
GetOperator   ,              0.0078 
GetOperator   ,              0.0093 
ParseValue    ,              0.014 
ParseValue    ,              0.0139 
GetOperator   ,              0.009 
RemoveExtraneousSpaces      ,              0.0166 
GetOperator   ,              0.009 
GetOperator   ,              0.0092 
GetOperator   ,              0.0083 
ParseValue    ,              0.0209 
GetOperator   ,              0.0085 
ParseValue    ,              0.0213 
RipFormula    ,              0.0622 
CollapseStack ,              0.0051 
GetOperator   ,              0.0089 
GetOperator   ,              0.0079 
GetOperator   ,              0.0089 
RemoveExtraneousSpaces      ,              0.0377 
GetOperator   ,              0.0094 
GetOperator   ,              0.008 
GetOperator   ,              0.008 
GetOperator   ,              0.0091 
GetOperator   ,              0.0084 
GetOperator   ,              0.0094 
GetOperator   ,              0.0096 
ParseValue    ,              0.0451 
GetOperator   ,              0.022 
GetOperator   ,              0.0093 
GetOperator   ,              0.0092 
ParseValue    ,              0.0581 
RipFormula    ,              0.1232 
CollapseStack ,              0.0053 
GetOperator   ,              0.009 
GetOperator   ,              0.0095 
GetOperator   ,              0.0103 
GetOperator   ,              0.0101 
GetOperator   ,              0.0106 
GetOperator   ,              0.0104 
GetOperator   ,              0.0103 
GetOperator   ,              0.0093 
GetOperator   ,              0.0104 
GetOperator   ,              0.0106 
GetOperator   ,              0.0108 
GetOperator   ,              0.0094 
GetOperator   ,              0.0106 
GetOperator   ,              0.0103 
GetOperator   ,              0.0095 
RemoveExtraneousSpaces      ,              0.1958 
GetOperator   ,              0.0085 
GetOperator   ,              0.009 
GetOperator   ,              0.0099 
GetOperator   ,              0.0088 
GetOperator   ,              0.0096 
GetOperator   ,              0.0089 
ParseValue    ,              0.0144 
ParseValue    ,              0.0147 
GetOperator   ,              0.0098 
GetOperator   ,              0.0084 
GetOperator   ,              0.0095 
GetOperator   ,              0.0083 
RemoveExtraneousSpaces      ,              0.0507 
GetOperator   ,              0.0097 
GetOperator   ,              0.0086 
GetOperator   ,              0.0095 
GetOperator   ,              0.0096 
ParseValue    ,              0.0111 
ParseValue    ,              0.0112 
GetOperator   ,              0.0086 
GetOperator   ,              0.0097 
GetOperator   ,              0.0087 
ParseValue    ,              0.0139 
ParseValue    ,              0.0111 
RipFormula    ,              0.1101 
GetOperator   ,              0.0095 
GetOperator   ,              0.0108 
GetOperator   ,              0.0094 
ParseValue    ,              0.0127 
ParseValue    ,              0.0126 
GetOperator   ,              0.0097 
GetOperator   ,              0.0106 
GetOperator   ,              0.0095 
ParseValue    ,              0.0126 
ParseValue    ,              0.0127 
RipFormula    ,              0.4078 
CollapseStack ,              0.0051 
CollapseStack ,              0.0142 
CollapseStack ,              0.005 
CollapseStack ,              0.014 
CollapseStack ,              0.0051 
CollapseStack ,              0.0142 
CollapseStack ,              0.0051 
CollapseStack ,              0.0141 
CollapseStack ,              0.0051 
CollapseStack ,              0.0139 
CollapseStack ,              0.0049 
CollapseStack ,              0.014 
CollapseStack ,              0.005 
CollapseStack ,              0.014 
CollapseStack ,              0.0054 
CollapseStack ,              0.0145 
CollapseStack ,              0.0049 
CollapseStack ,              0.0138 
CollapseStack ,              0.005 
CollapseStack ,              0.0142 
CollapseStack ,              0.0052 
CollapseStack ,              0.0141 
CollapseStack ,              0.0049 
CollapseStack ,              0.0138 
CollapseStack ,              0.0051 
CollapseStack ,              0.014 
CollapseStack ,              0.005 
CollapseStack ,              0.0142 
CollapseStack ,              0.0053 
CollapseStack ,              0.0142 
CollapseStack ,              0.005 
CollapseStack ,              0.0139 
CollapseStack ,              0.005 
CollapseStack ,              0.0144 
CollapseStack ,              0.0049 
CollapseStack ,              0.0148 
CollapseStack ,              0.0052 
CollapseStack ,              0.0141 
CollapseStack ,              0.0051 
CollapseStack ,              0.014 
CollapseStack ,              0.0049 
CollapseStack ,              0.0142 
CollapseStack ,              0.005 
CollapseStack ,              0.014 
CollapseStack ,              0.0051 
CollapseStack ,              0.0139 
CollapseStack ,              0.005 
CollapseStack ,              0.014 
CollapseStack ,              0.005 
CollapseStack ,              0.0142 
CollapseStack ,              0.0051 
CollapseStack ,              0.0141 
